Provincia,Partido,Localidad,Link Indec,ADSL,Cablemodem,Dail Up,Fibra Optica,Otros1,Satelital,Wimax,Wireless,Total general,Otros,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps
Catamarca,Ambato,Los Varela,10007110,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Catamarca,Ambato,Los Talas,10007100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,,0.0,0.0,66.0,0.0,0.0,0.0,0.0
Catamarca,Ancasti,Ancasti,10014010,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Catamarca,Andalgalá,Andalgalá,10021020,682.0,0.0,0.0,144.0,1.0,2.0,0.0,203.0,1032.0,,2.0,27.0,38.0,536.0,424.0,2.0,0.0
Catamarca,Andalgalá,Chaquiago,10021030,0.0,0.0,0.0,9.0,0.0,1.0,0.0,14.0,24.0,,1.0,0.0,0.0,23.0,0.0,0.0,0.0
Catamarca,Andalgalá,El Potrero,10021070,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0,,0.0,0.0,0.0,13.0,0.0,0.0,0.0
Catamarca,Andalgalá,Aconquija,10021010,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Catamarca,Andalgalá,El Alamito,10021050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,,0.0,0.0,20.0,0.0,0.0,0.0,0.0
Catamarca,Andalgalá,La Aguada,10021080,0.0,0.0,0.0,11.0,0.0,0.0,0.0,5.0,16.0,,0.0,0.0,0.0,16.0,0.0,0.0,0.0
Catamarca,Andalgalá,La Mesada,10021010,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,9.0,0.0,0.0,0.0
